"nome","sku","departamento","categoria","img","valor","desconto","dt_hora"
"ARROZ POLIDO LONGO FINO ORGÂNICO TIO JOÃO 1KG",180,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/81556006-c422-42ed-b41e-4a58bc2f2c3b.jpg",10.29,11,"1654631181.343194"
"FEIJÃO BRANCO KICALDO 1KG",252,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/FEIJAOBRANCO236.jpg",11.99,0,"1654631523.977244"
"CREME DE LEITE ITAMBÉ LATA 300G",677,"Ingredientes Culinários","alimentos","https://d2om08pcbtz1n1.cloudfront.net/SHOP473.jpg",5.79,16,"1654633963.131727"
"ARROZ PARBOILIZADO TIPO 1 TIO JOÃO 5KG",164,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/3_VRdeDQZ.jpg",26.99,5,"1654631130.102122"
"ARROZ 7 CEREAIS INTEGRAIS + SOJA TIO JOÃO 500G",165,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/d31290fd-9dd1-4336-ab01-497178e0db0a.png",8.89,0,"1654631131.05819"
"ARROZ 7 GRÃOS INTEGRAIS TIO JOÃO 500G",166,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/tiojoao1.jpg",10.29,6,"1654631136.139509"
"ARROZ BASMATI TIO JOÃO COZINHA INDIANA 500G",167,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/321fbaaa-f4d8-4d76-80ad-e649c4d6fb66.jpg",17.49,0,"1654631137.248717"
"ARROZ CARNAROLI TIO JOÃO 1KG",168,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/italiana1.jpg",17.49,8,"1654631142.486704"
"ARROZ ORGÂNICO AGULHINHA INTEGRAL KORIN 1KG",169,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/korinorganicointegral1kg53465.jpg",14.49,0,"1654631143.423382"
"ARROZ ORGÂNICO AGULHINHA POLIDO KORIN 1KG",170,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/korinorganicopolido53465.jpg",14.49,0,"1654631148.605479"
"ARROZ INTEGRAL RÁRIS 7 CEREAIS INTEGRAIS 1KG",171,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/16f6573d-0529-4265-a86f-2158d6a41152.jpg",18.79,1,"1654631153.714966"
"ARROZ INTEGRAL RÁRIS 7 CEREAIS INTEGRAIS 500G",172,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/aac999b4-aa0a-4cda-8fcd-b356f49c2e1b.jpg",11.59,0,"1654631154.696188"
"ARROZ INTEGRAL RÁRIS 7 GRÃOS CENOURA 1KG",173,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/d77cf38d-74f5-42c3-8046-90278b2d0b53.jpg",18.79,1,"1654631157.775825"
"ARROZ INTEGRAL RÁRIS 7 GRÃOS INTEGRAIS 500G",174,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/14cd0a48-e95b-489e-aa1f-f6b88115b10f.jpg",11.59,0,"1654631158.755484"
"ARROZ INTEGRAL UNCLE BENS 1KG",175,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/7fbcaac6-4c6d-469b-aaed-56362d4eb4c6.jpg",6.99,2,"1654631163.820586"
"ARROZ RÁRIS 7 GRÃOS CENOURA 500G",176,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/cb28d37c-7018-4b50-acf7-78bae49304de.jpg",10.99,0,"1654631164.825713"
"ARROZ RÁRIS 7 GRÃOS E ALHO PORÓ 500G",177,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/18df7fe8-2b57-4850-aa4e-4b3542adc432.jpg",11.59,0,"1654631169.942431"
